lemma,part_of_speech,absolute_frequency
Claire,PROPN,1
Clarithromycin,PROPN,2
Clark,PROPN,1
Classification,PROPN,1
Clemastine,PROPN,2
Clerkin,PROPN,1
Clindamycin,PROPN,1
Clinistix,PROPN,2
Clobazam,PROPN,1
Clofibrate,PROPN,1
Clomethiazole,PROPN,1
Clomid,PROPN,1
Clomipramine,PROPN,1
Clonidine,PROPN,1
Clonus,PROPN,1
Clopidogrel,PROPN,1
Clopixol,PROPN,1
Clostridium,PROPN,6
Clozaril,PROPN,1
Co,PROPN,6
Co,VERB,2
Coat,PROPN,3
Cobb,PROPN,1
Cocaine,PROPN,2
Coccydynia,PROPN,2
Coccyx,PROPN,2
Cochlea,PROPN,3
Cochleas,PROPN,1
Cochrane,PROPN,1
Cockayne,PROPN,1
Cod,PROPN,1
Codeine,PROPN,2
Coeliac,PROPN,2
Coffin,PROPN,1
Coitus,PROPN,1
Cola,PROPN,1
Colchicum,PROPN,1
Colestipol,PROPN,1
Colestyramine,PROPN,2
Colic,PROPN,3
Colies,PROPN,1
Colin,PROPN,2
Colistin,PROPN,2
Colitis,PROPN,1
Collagen,PROPN,2
College,PROPN,2
Colles,PROPN,6
Collet,PROPN,1
Collins,PROPN,1
Coloboma,PROPN,1
